county,SEX AND AGE,total population,male,female,SEX AND AGE!!Total population!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!Under 5 years,SEX AND AGE!!Total population!!5 to 9 years,SEX AND AGE!!Total population!!10 to 14 years,SEX AND AGE!!Total population!!15 to 19 years,SEX AND AGE!!Total population!!20 to 24 years,SEX AND AGE!!Total population!!25 to 34 years,SEX AND AGE!!Total population!!35 to 44 years,SEX AND AGE!!Total population!!45 to 54 years,SEX AND AGE!!Total population!!55 to 59 years,SEX AND AGE!!Total population!!60 to 64 years,SEX AND AGE!!Total population!!65 to 74 years,SEX AND AGE!!Total population!!75 to 84 years,SEX AND AGE!!Total population!!85 years and over,SEX AND AGE!!Total population!!Median age (years),SEX AND AGE!!Total population!!Under 18 years,SEX AND AGE!!Total population!!16 years and over,SEX AND AGE!!Total population!!18 years and over,SEX AND AGE!!Total population!!21 years and over,SEX AND AGE!!Total population!!62 years and over,SEX AND AGE!!Total population!!65 years and over,SEX AND AGE!!Total population!!18 years and over.1,SEX AND AGE!!Total population!!18 years and over!!Male,SEX AND AGE!!Total population!!18 years and over!!Female,SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!65 years and over.1,SEX AND AGE!!Total population!!65 years and over!!Male,SEX AND AGE!!Total population!!65 years and over!!Female,SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),RACE,race,RACE!!Total population!!One race,RACE!!Total population!!Two or more races,RACE!!Total population!!One race.1,RACE!!Total population!!One race!!White,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Asian!!Asian Indian,RACE!!Total population!!One race!!Asian!!Chinese,RACE!!Total population!!One race!!Asian!!Filipino,RACE!!Total population!!One race!!Asian!!Japanese,RACE!!Total population!!One race!!Asian!!Korean,RACE!!Total population!!One race!!Asian!!Vietnamese,RACE!!Total population!!One race!!Asian!!Other Asian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,RACE!!Total population!!One race!!Some other race,RACE!!Total population!!Two or more races.1,RACE!!Total population!!Two or more races!!White and Black or African American,RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,RACE!!Total population!!Two or more races!!White and Asian,RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,Race alone or in combination with one or more other races,Race alone or in combination with one or more other races!!Total population,white,black or African American,American Indian and Alaska Native,Asian,Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Race alone or in combination with one or more other races!!Total population!!Some other race,HISPANIC OR LATINO AND RACE,HISPANIC OR LATINO AND RACE!!Total population,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races",Total housing units,"CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Frio County, Texas",,"19,871",59.8%,40.2%,148.8,6.5%,6.4%,5.9%,9.0%,9.6%,18.9%,12.5%,10.5%,4.2%,4.1%,6.9%,4.4%,1.1%,31.2,23.9%,79.3%,76.1%,70.9%,15.0%,12.4%,"15,129",61.8%,38.2%,161.9,"2,468",47.2%,52.8%,89.4,,"19,871",98.2%,1.8%,98.2%,82.2%,3.6%,0.1%,0.0%,0.0%,0.0%,0.0%,0.9%,0.2%,0.2%,0.1%,0.0%,0.0%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,11.3%,1.8%,0.6%,0.5%,0.0%,0.1%,,"19,871",83.9%,4.4%,0.8%,1.0%,0.0%,11.8%,,"19,871",79.3%,66.5%,0.4%,0.6%,11.8%,20.7%,16.3%,3.2%,0.0%,0.8%,0.0%,0.1%,0.4%,0.0%,0.4%,"5,993",,"12,653",60.1%,39.9%
"Gaines County, Texas",,"20,706",51.0%,49.0%,104.0,11.0%,9.5%,10.1%,8.7%,6.1%,14.0%,12.1%,10.3%,5.2%,4.4%,5.1%,2.8%,0.9%,27.8,36.0%,67.2%,64.0%,59.9%,11.7%,8.8%,"13,250",50.7%,49.3%,103.0,"1,820",45.9%,54.1%,85.0,,"20,706",99.7%,0.3%,99.7%,94.6%,2.5%,0.3%,0.0%,0.0%,0.0%,0.0%,0.5%,0.2%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.8%,0.3%,0.1%,0.0%,0.0%,0.0%,,"20,706",94.7%,2.7%,0.4%,0.5%,0.0%,1.9%,,"20,706",41.5%,40.2%,0.2%,0.0%,1.1%,58.5%,55.5%,2.2%,0.3%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,"6,501",,"10,492",51.0%,49.0%
"Galveston County, Texas",,"332,885",49.2%,50.8%,97.0,6.4%,6.8%,7.0%,6.8%,6.0%,13.4%,13.1%,13.2%,7.2%,6.2%,8.6%,4.0%,1.4%,37.7,24.4%,78.4%,75.6%,71.7%,17.6%,13.9%,"251,621",48.6%,51.4%,94.6,"46,434",45.3%,54.7%,82.8,,"332,885",97.1%,2.9%,97.1%,78.8%,12.6%,0.4%,0.1%,0.0%,0.0%,0.0%,3.3%,0.9%,0.6%,0.5%,0.1%,0.2%,0.8%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,2.0%,2.9%,0.9%,0.6%,0.5%,0.1%,,"332,885",81.3%,13.8%,1.2%,4.1%,0.2%,2.5%,,"332,885",24.6%,19.9%,1.0%,0.3%,3.5%,75.4%,57.4%,12.3%,0.2%,3.3%,0.0%,0.1%,2.0%,0.1%,1.9%,"146,445",,"234,352",48.3%,51.7%
"Garza County, Texas",,"6,070",63.1%,36.9%,170.9,4.3%,4.3%,3.3%,5.9%,8.0%,15.1%,17.9%,16.0%,6.5%,5.1%,7.7%,4.8%,1.2%,41.1,15.8%,87.1%,84.2%,81.1%,17.1%,13.7%,"5,108",66.3%,33.7%,196.8,834,44.8%,55.2%,81.3,,"6,070",98.7%,1.3%,98.7%,84.3%,5.7%,0.3%,0.0%,0.0%,0.0%,0.0%,2.0%,0.0%,1.4%,0.1%,0.0%,0.0%,0.3%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,6.4%,1.3%,0.4%,0.1%,0.0%,0.2%,,"6,070",85.4%,6.4%,0.6%,2.0%,0.0%,6.9%,,"6,070",52.2%,46.8%,0.2%,0.1%,5.1%,47.8%,39.7%,5.6%,0.1%,2.0%,0.0%,0.0%,0.4%,0.0%,0.4%,"2,044",,"3,146",48.1%,51.9%
"Gillespie County, Texas",,"26,459",48.4%,51.6%,93.7,5.0%,4.7%,6.6%,6.0%,4.6%,8.0%,9.9%,10.6%,6.2%,8.9%,15.1%,9.9%,4.3%,50.0,20.1%,82.7%,79.9%,77.1%,35.1%,29.3%,"21,129",47.6%,52.4%,90.8,"7,758",46.6%,53.4%,87.3,,"26,459",96.9%,3.1%,96.9%,91.0%,0.1%,3.2%,0.3%,0.0%,0.0%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,2.5%,3.1%,0.3%,1.9%,0.4%,0.0%,,"26,459",94.0%,0.4%,5.2%,0.7%,0.0%,2.9%,,"26,459",23.2%,21.8%,0.0%,0.0%,1.2%,76.8%,74.7%,0.1%,0.3%,0.1%,0.0%,0.1%,1.5%,0.1%,1.4%,"13,184",,"19,573",46.6%,53.4%
"Goliad County, Texas",,"7,565",49.6%,50.4%,98.6,3.9%,6.6%,7.6%,5.2%,6.4%,8.8%,10.5%,12.8%,8.7%,7.6%,12.3%,8.5%,1.2%,46.1,21.7%,81.1%,78.3%,74.6%,25.6%,22.0%,"5,927",48.8%,51.2%,95.4,"1,664",48.5%,51.5%,94.2,,"7,565",99.5%,0.5%,99.5%,80.9%,5.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.4%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,12.0%,0.5%,0.0%,0.1%,0.1%,0.0%,,"7,565",81.1%,6.1%,0.1%,0.8%,0.0%,12.3%,,"7,565",35.8%,34.6%,0.0%,0.3%,0.9%,64.2%,58.3%,4.9%,0.0%,0.7%,0.0%,0.0%,0.2%,0.0%,0.2%,"3,771",,"5,696",48.5%,51.5%
"Gonzales County, Texas",,"20,731",50.8%,49.2%,103.4,7.3%,7.0%,8.2%,6.7%,6.3%,12.1%,11.1%,11.8%,6.7%,6.4%,9.2%,5.5%,1.7%,36.3,27.0%,75.4%,73.0%,70.0%,20.8%,16.4%,"15,125",50.0%,50.0%,99.9,"3,393",46.7%,53.3%,87.8,,"20,731",98.4%,1.6%,98.4%,66.5%,6.7%,0.3%,0.0%,0.0%,0.0%,0.0%,0.4%,0.0%,0.1%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,24.6%,1.6%,0.3%,0.3%,0.0%,0.0%,,"20,731",67.8%,7.2%,0.6%,0.5%,0.0%,25.5%,,"20,731",50.7%,48.5%,0.0%,0.1%,2.1%,49.3%,41.7%,6.5%,0.1%,0.4%,0.0%,0.0%,0.6%,0.0%,0.6%,"8,998",,"13,293",48.3%,51.7%
"Gray County, Texas",,"22,410",52.7%,47.3%,111.6,7.2%,7.8%,6.4%,6.0%,6.6%,13.1%,13.5%,12.1%,6.9%,4.7%,8.4%,5.1%,2.3%,36.5,25.6%,76.8%,74.4%,70.7%,19.0%,15.8%,"16,675",53.8%,46.2%,116.6,"3,546",44.7%,55.3%,80.9,,"22,410",97.2%,2.8%,97.2%,85.2%,4.5%,1.3%,0.2%,0.0%,0.1%,0.0%,0.7%,0.0%,0.3%,0.3%,0.0%,0.0%,0.0%,0.1%,0.2%,0.0%,0.1%,0.0%,0.1%,5.4%,2.8%,1.1%,1.0%,0.0%,0.1%,,"22,410",87.7%,5.7%,2.5%,0.9%,0.2%,5.9%,,"22,410",29.0%,27.0%,0.0%,0.0%,2.0%,71.0%,63.3%,4.3%,0.7%,0.7%,0.2%,0.0%,1.8%,0.0%,1.8%,"10,030",,"15,362",53.9%,46.1%
"Grayson County, Texas",,"131,014",48.8%,51.2%,95.3,6.3%,6.1%,7.3%,6.7%,6.2%,11.8%,11.8%,12.5%,7.5%,6.2%,10.4%,5.1%,2.1%,39.9,23.7%,78.8%,76.3%,72.2%,20.8%,17.5%,"99,914",48.1%,51.9%,92.5,"22,943",44.9%,55.1%,81.4,,"131,014",96.5%,3.5%,96.5%,86.5%,5.5%,1.1%,0.2%,0.0%,0.0%,0.0%,1.6%,0.2%,0.3%,0.1%,0.0%,0.1%,0.1%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,1.8%,3.5%,1.6%,1.3%,0.2%,0.1%,,"131,014",89.8%,7.2%,2.5%,1.9%,0.1%,2.1%,,"131,014",13.4%,10.7%,0.3%,0.1%,2.3%,86.6%,75.4%,5.2%,1.0%,1.6%,0.0%,0.1%,3.2%,0.0%,3.1%,"55,971",,"94,397",47.6%,52.4%
"Gregg County, Texas",,"123,443",48.7%,51.3%,94.9,7.4%,7.4%,7.1%,6.7%,6.8%,13.8%,12.0%,11.7%,6.5%,5.7%,8.4%,4.5%,2.2%,35.6,25.9%,76.9%,74.1%,70.5%,18.2%,15.1%,"91,508",47.8%,52.2%,91.7,"18,617",42.3%,57.7%,73.2,,"123,443",97.3%,2.7%,97.3%,74.6%,20.0%,0.2%,0.1%,0.0%,0.0%,0.0%,1.3%,0.2%,0.1%,0.2%,0.0%,0.1%,0.3%,0.3%,0.1%,0.0%,0.1%,0.0%,0.0%,1.0%,2.7%,1.3%,0.7%,0.3%,0.1%,,"123,443",77.2%,21.6%,1.0%,1.8%,0.1%,1.2%,,"123,443",18.7%,16.9%,0.4%,0.1%,1.3%,81.3%,57.5%,19.8%,0.2%,1.3%,0.1%,0.2%,2.3%,0.0%,2.2%,"52,069",,"84,384",47.1%,52.9%
"Grimes County, Texas",,"27,984",54.2%,45.8%,118.4,5.5%,6.4%,6.7%,6.4%,6.5%,11.7%,12.7%,13.0%,6.6%,7.7%,11.0%,4.2%,1.7%,40.4,22.5%,79.7%,77.5%,73.6%,21.2%,16.9%,"21,675",55.5%,44.5%,124.7,"4,741",49.7%,50.3%,98.8,,"27,984",97.2%,2.8%,97.2%,77.7%,15.2%,0.5%,0.0%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.1%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3.6%,2.8%,1.5%,0.8%,0.0%,0.1%,,"27,984",80.3%,16.9%,1.4%,0.2%,0.1%,4.0%,,"27,984",24.2%,21.8%,0.2%,0.0%,2.2%,75.8%,58.5%,14.9%,0.3%,0.2%,0.0%,0.0%,2.0%,0.0%,2.0%,"11,325",,"20,350",55.9%,44.1%
"Guadalupe County, Texas",,"158,966",49.5%,50.5%,97.8,6.3%,7.5%,7.0%,7.4%,6.1%,12.8%,14.1%,13.6%,6.2%,5.4%,8.3%,4.0%,1.3%,37.0,25.4%,77.4%,74.6%,70.3%,16.8%,13.6%,"118,633",48.8%,51.2%,95.5,"21,670",45.4%,54.6%,83.1,,"158,966",96.8%,3.2%,96.8%,73.5%,8.2%,0.3%,0.0%,0.0%,0.0%,0.0%,1.7%,0.2%,0.2%,0.5%,0.1%,0.3%,0.2%,0.2%,0.2%,0.1%,0.1%,0.0%,0.1%,12.9%,3.2%,0.8%,0.6%,0.6%,0.1%,,"158,966",76.2%,9.3%,1.2%,2.7%,0.5%,13.6%,,"158,966",37.9%,33.5%,1.2%,0.3%,3.0%,62.1%,50.4%,7.6%,0.2%,1.6%,0.1%,0.2%,2.0%,0.1%,1.9%,"58,406",,"113,525",48.8%,51.2%
"Hale County, Texas",,"33,826",52.1%,47.9%,108.9,6.8%,7.0%,8.7%,8.3%,7.5%,13.7%,11.9%,12.0%,5.7%,5.2%,7.2%,3.9%,2.2%,33.4,27.2%,75.7%,72.8%,67.6%,16.3%,13.3%,"24,618",52.7%,47.3%,111.6,"4,482",46.5%,53.5%,87.0,,"33,826",95.4%,4.6%,95.4%,85.8%,5.0%,0.7%,0.1%,0.0%,0.0%,0.0%,0.3%,0.0%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3.6%,4.6%,0.7%,1.4%,0.3%,0.7%,,"33,826",89.1%,7.0%,3.2%,1.2%,0.1%,4.5%,,"33,826",59.4%,56.6%,0.4%,0.0%,2.5%,40.6%,33.8%,4.5%,0.1%,0.3%,0.0%,0.1%,1.7%,0.0%,1.7%,"13,401",,"22,280",52.2%,47.8%
"Hamilton County, Texas",,"8,332",50.0%,50.0%,99.9,5.9%,5.3%,6.0%,6.7%,5.0%,10.6%,10.0%,10.8%,8.2%,6.9%,12.1%,7.3%,5.1%,45.8,20.8%,81.5%,79.2%,74.5%,29.3%,24.5%,"6,601",49.4%,50.6%,97.8,"2,042",45.4%,54.6%,83.3,,"8,332",98.7%,1.3%,98.7%,95.3%,0.8%,1.4%,0.5%,0.0%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.2%,1.3%,0.0%,0.7%,0.0%,0.0%,,"8,332",96.6%,0.8%,2.1%,0.0%,0.0%,1.8%,,"8,332",12.7%,12.7%,0.0%,0.0%,0.1%,87.3%,84.0%,0.8%,1.4%,0.0%,0.0%,0.0%,1.0%,0.3%,0.7%,"4,542",,"6,366",49.2%,50.8%
"Hansford County, Texas",,"5,520",51.0%,49.0%,104.2,8.1%,6.8%,8.8%,8.5%,6.8%,10.9%,10.5%,13.7%,5.4%,5.1%,8.6%,4.7%,2.2%,35.1,29.8%,74.3%,70.2%,67.7%,19.2%,15.4%,"3,876",50.6%,49.4%,102.4,851,48.3%,51.7%,93.4,,"5,520",99.0%,1.0%,99.0%,91.6%,0.3%,0.1%,0.1%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,6.9%,1.0%,0.0%,0.2%,0.1%,0.0%,,"5,520",92.6%,0.3%,0.3%,0.3%,0.3%,7.5%,,"5,520",48.0%,46.3%,0.4%,0.0%,1.3%,52.0%,51.6%,0.1%,0.1%,0.1%,0.0%,0.0%,0.1%,0.0%,0.1%,"2,349",,"2,900",48.8%,51.2%
"Hardin County, Texas",,"56,765",48.2%,51.8%,93.1,6.6%,7.5%,6.5%,6.2%,5.8%,12.4%,12.7%,12.5%,7.3%,6.1%,10.0%,4.9%,1.6%,39.2,24.7%,78.1%,75.3%,71.8%,19.9%,16.5%,"42,736",48.3%,51.7%,93.6,"9,352",44.5%,55.5%,80.3,,"56,765",98.6%,1.4%,98.6%,91.3%,5.8%,0.3%,0.1%,0.0%,0.0%,0.0%,0.6%,0.2%,0.0%,0.1%,0.0%,0.1%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.6%,1.4%,0.3%,0.6%,0.3%,0.0%,,"56,765",92.6%,6.1%,0.9%,0.9%,0.0%,0.8%,,"56,765",5.7%,5.1%,0.1%,0.0%,0.4%,94.3%,86.5%,5.6%,0.3%,0.6%,0.0%,0.2%,1.2%,0.0%,1.2%,"24,752",,"42,089",48.3%,51.7%
"Harris County, Texas",,"4,646,630",49.7%,50.3%,98.8,7.6%,7.4%,7.5%,6.9%,6.9%,16.2%,14.3%,12.5%,5.6%,5.0%,6.4%,2.8%,1.0%,33.5,26.8%,76.0%,73.2%,69.3%,13.0%,10.2%,"3,400,738",49.2%,50.8%,97.0,"472,148",44.2%,55.8%,79.2,,"4,646,630",97.6%,2.4%,97.6%,62.5%,19.0%,0.4%,0.1%,0.0%,0.0%,0.0%,7.0%,1.4%,1.3%,0.6%,0.1%,0.2%,2.2%,1.1%,0.1%,0.0%,0.0%,0.0%,0.0%,8.5%,2.4%,0.6%,0.3%,0.5%,0.1%,,"4,646,630",64.5%,20.0%,0.9%,7.8%,0.2%,9.1%,,"4,646,630",42.9%,31.6%,0.7%,0.7%,9.9%,57.1%,29.6%,18.6%,0.2%,6.9%,0.1%,0.2%,1.5%,0.1%,1.4%,"1,768,096",,"2,705,677",48.4%,51.6%
"Harrison County, Texas",,"66,580",48.6%,51.4%,94.4,6.4%,6.9%,7.6%,7.2%,6.0%,11.6%,12.3%,12.2%,7.2%,6.1%,9.9%,4.6%,1.9%,38.7,25.4%,77.8%,74.6%,70.5%,20.4%,16.5%,"49,680",48.2%,51.8%,93.1,"10,965",45.2%,54.8%,82.4,,"66,580",98.0%,2.0%,98.0%,74.7%,20.7%,0.3%,0.2%,0.0%,0.0%,0.0%,0.8%,0.0%,0.0%,0.1%,0.0%,0.0%,0.1%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,1.5%,2.0%,0.9%,0.6%,0.0%,0.0%,,"66,580",76.5%,21.7%,1.0%,1.0%,0.0%,1.9%,,"66,580",13.1%,12.3%,0.1%,0.0%,0.7%,86.9%,63.6%,20.7%,0.2%,0.8%,0.0%,0.0%,1.6%,0.0%,1.5%,"28,693",,"47,737",48.1%,51.9%
"Hartley County, Texas",,"5,669",59.0%,41.0%,144.0,5.5%,4.7%,7.5%,4.0%,3.0%,18.8%,18.8%,12.2%,6.8%,3.8%,8.0%,5.8%,1.2%,38.1,21.5%,81.1%,78.5%,78.3%,17.0%,15.0%,"4,451",61.5%,38.5%,159.8,852,44.6%,55.4%,80.5,,"5,669",96.0%,4.0%,96.0%,84.8%,7.5%,0.4%,0.3%,0.0%,0.0%,0.0%,1.4%,0.2%,0.0%,0.4%,0.0%,0.1%,0.0%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,1.9%,4.0%,0.7%,2.5%,0.1%,0.0%,,"5,669",88.7%,8.3%,3.1%,1.9%,0.3%,2.2%,,"5,669",26.7%,25.9%,0.0%,0.0%,0.8%,73.3%,60.0%,7.4%,0.4%,1.4%,0.0%,0.6%,3.5%,0.0%,3.5%,"1,939",,"4,060",59.6%,40.4%
"Haskell County, Texas",,"5,726",51.8%,48.2%,107.3,4.1%,5.7%,5.0%,7.6%,7.6%,10.2%,12.6%,11.8%,5.3%,7.9%,12.3%,6.8%,3.0%,43.5,18.4%,84.2%,81.6%,76.2%,26.6%,22.0%,"4,674",53.4%,46.6%,114.6,"1,262",45.2%,54.8%,82.4,,"5,726",97.9%,2.1%,97.9%,89.3%,4.0%,0.5%,0.0%,0.0%,0.0%,0.0%,0.3%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3.9%,2.1%,0.5%,0.5%,0.2%,0.0%,,"5,726",91.3%,4.6%,1.0%,0.6%,0.8%,3.9%,,"5,726",28.6%,23.3%,0.1%,0.0%,5.2%,71.4%,64.7%,3.8%,0.5%,0.3%,0.0%,0.2%,2.1%,0.0%,2.1%,"3,469",,"4,179",50.9%,49.1%
"Hays County, Texas",,"213,366",49.8%,50.2%,99.2,6.1%,6.4%,6.8%,8.5%,12.2%,14.0%,13.3%,11.6%,5.4%,4.9%,7.0%,2.9%,0.8%,32.0,23.1%,79.4%,76.9%,68.9%,13.5%,10.7%,"163,997",49.3%,50.7%,97.4,"22,818",45.9%,54.1%,84.8,,"213,366",97.5%,2.5%,97.5%,88.5%,4.2%,0.4%,0.0%,0.0%,0.0%,0.0%,1.6%,0.4%,0.4%,0.3%,0.1%,0.1%,0.1%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,2.8%,2.5%,0.5%,0.6%,0.5%,0.0%,,"213,366",90.7%,5.0%,1.1%,2.3%,0.1%,3.4%,,"213,366",38.9%,34.4%,0.9%,0.2%,3.4%,61.1%,53.8%,3.8%,0.2%,1.5%,0.0%,0.2%,1.5%,0.0%,1.5%,"78,715",,"153,266",48.8%,51.2%
"Henderson County, Texas",,"81,070",48.7%,51.3%,95.0,5.5%,5.4%,6.6%,6.4%,5.4%,10.9%,10.7%,12.3%,7.2%,7.5%,12.6%,7.2%,2.2%,43.9,21.5%,81.3%,78.5%,74.7%,26.6%,22.0%,"63,606",48.1%,51.9%,92.8,"17,818",46.1%,53.9%,85.6,,"81,070",98.6%,1.4%,98.6%,89.5%,6.7%,0.9%,0.2%,0.0%,0.0%,0.0%,0.6%,0.1%,0.0%,0.1%,0.0%,0.0%,0.1%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.9%,1.4%,0.6%,0.5%,0.1%,0.0%,,"81,070",90.8%,7.3%,1.5%,0.8%,0.1%,1.1%,,"81,070",12.8%,11.1%,0.2%,0.0%,1.3%,87.2%,78.2%,6.4%,0.8%,0.6%,0.0%,0.1%,1.2%,0.0%,1.2%,"41,246",,"60,976",47.9%,52.1%
"Hidalgo County, Texas",,"855,176",49.0%,51.0%,96.0,9.2%,8.8%,9.5%,8.7%,7.7%,13.4%,12.8%,10.8%,4.2%,4.0%,6.1%,3.5%,1.3%,29.2,32.9%,70.7%,67.1%,62.0%,13.2%,10.8%,"573,438",48.0%,52.0%,92.5,"92,728",44.3%,55.7%,79.5,,"855,176",98.3%,1.7%,98.3%,86.3%,0.5%,0.2%,0.0%,0.0%,0.0%,0.0%,1.0%,0.2%,0.1%,0.4%,0.1%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,10.3%,1.7%,0.1%,0.2%,0.1%,0.0%,,"855,176",87.9%,0.7%,0.4%,1.1%,0.0%,11.7%,,"855,176",92.2%,88.9%,0.3%,0.1%,2.9%,7.8%,6.1%,0.4%,0.1%,0.9%,0.0%,0.1%,0.1%,0.0%,0.1%,"276,307",,"420,931",48.7%,51.3%
"Hill County, Texas",,"35,689",49.9%,50.1%,99.6,5.9%,6.6%,6.7%,6.9%,5.5%,10.9%,10.6%,12.4%,7.7%,6.2%,11.8%,6.8%,2.0%,42.1,23.3%,79.6%,76.7%,72.4%,24.1%,20.5%,"27,368",49.1%,50.9%,96.6,"7,332",47.6%,52.4%,90.7,,"35,689",98.1%,1.9%,98.1%,86.0%,6.6%,1.1%,0.1%,0.0%,0.0%,0.0%,0.4%,0.0%,0.1%,0.1%,0.0%,0.0%,0.0%,0.2%,0.2%,0.0%,0.0%,0.0%,0.2%,3.8%,1.9%,0.6%,0.7%,0.1%,0.2%,,"35,689",87.6%,7.4%,2.1%,0.7%,0.2%,4.1%,,"35,689",20.6%,19.8%,0.2%,0.1%,0.6%,79.4%,70.6%,6.3%,0.3%,0.4%,0.2%,0.1%,1.6%,0.1%,1.5%,"16,337",,"25,910",49.2%,50.8%
"Hockley County, Texas",,"23,064",49.9%,50.1%,99.5,6.7%,6.8%,8.0%,8.7%,7.4%,13.5%,11.6%,11.0%,5.9%,6.1%,8.2%,4.0%,2.0%,33.8,26.1%,76.4%,73.9%,67.5%,17.9%,14.3%,"17,034",49.2%,50.8%,96.9,"3,288",46.1%,53.9%,85.4,,"23,064",97.6%,2.4%,97.6%,88.4%,3.2%,0.5%,0.1%,0.0%,0.0%,0.0%,0.4%,0.1%,0.0%,0.1%,0.1%,0.1%,0.0%,0.0%,0.1%,0.1%,0.0%,0.0%,0.0%,5.0%,2.4%,0.6%,0.2%,0.4%,0.0%,,"23,064",90.6%,4.0%,0.8%,1.0%,0.2%,5.9%,,"23,064",47.8%,44.7%,0.2%,0.0%,2.9%,52.2%,46.9%,3.2%,0.5%,0.4%,0.1%,0.2%,0.9%,0.0%,0.9%,"9,384",,"15,934",48.7%,51.3%
