"Label (Grouping)","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income","Mean income","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"        Estimate","24,414","12.8%","11.6%","22.4%","13.3%","14.2%","14.0%","5.2%","4.1%","0.9%","1.4%","27,132","41,099","","(X)","(X)","31.9%"
"Piscataquis County, Maine","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","7,025","7.9%","9.8%","12.7%","12.5%","17.0%","19.6%","8.3%","8.8%","1.6%","1.7%","40,890","53,870","","31.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,404","3.7%","3.4%","9.6%","10.9%","19.4%","24.5%","11.2%","12.6%","2.1%","2.6%","52,356","66,690","","(X)","29.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,475","2.4%","1.6%","5.6%","9.1%","20.6%","25.9%","13.4%","15.5%","2.6%","3.2%","59,425","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,621","16.7%","20.9%","19.6%","14.5%","14.0%","9.7%","2.3%","1.8%","0.5%","0.1%","19,653","29,109","","(X)","(X)","32.0%"
"Sagadahoc County, Maine","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","15,980","4.4%","4.8%","8.4%","9.6%","12.5%","18.0%","17.5%","16.7%","5.2%","3.0%","63,694","76,602","","25.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","10,128","3.2%","1.9%","4.5%","7.0%","9.9%","19.8%","20.2%","22.4%","7.1%","4.0%","78,617","90,346","","(X)","26.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","8,201","0.4%","0.9%","2.6%","5.0%","9.3%","19.0%","23.5%","25.6%","8.7%","5.0%","88,923","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,852","7.7%","9.7%","16.5%","15.7%","16.1%","15.2%","10.0%","6.6%","1.4%","1.0%","35,625","49,535","","(X)","(X)","23.1%"
"Somerset County, Maine","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","21,321","8.8%","8.9%","12.8%","11.2%","13.6%","19.4%","11.9%","9.2%","2.9%","1.4%","44,256","56,316","","32.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","13,468","4.9%","3.8%","8.7%","12.6%","13.6%","22.7%","15.1%","12.5%","3.9%","2.2%","55,156","68,335","","(X)","31.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","10,166","3.3%","1.9%","5.9%","10.6%","13.7%","23.5%","17.6%","15.7%","4.8%","2.9%","65,957","77,574","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","7,853","16.6%","18.5%","20.7%","11.1%","12.7%","11.3%","5.9%","2.2%","0.9%","0.0%","21,836","32,188","","(X)","(X)","32.4%"
"Waldo County, Maine","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","17,236","6.7%","4.5%","11.6%","11.2%","13.9%","18.3%","14.4%","12.9%","3.3%","3.2%","51,931","68,013","","29.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","11,099","3.2%","2.0%","6.8%","9.6%","15.7%","20.4%","16.9%","17.3%","4.0%","4.0%","64,881","79,295","","(X)","28.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","8,711","0.6%","1.1%","5.8%","7.7%","13.4%","21.5%","19.3%","20.8%","4.9%","5.0%","74,979","88,770","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","6,137","14.7%","9.5%","20.5%","15.2%","12.2%","14.6%","8.6%","2.4%","0.7%","1.5%","27,100","42,316","","(X)","(X)","30.3%"
"Washington County, Maine","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","13,791","9.7%","7.8%","13.2%","12.6%","14.6%","18.9%","10.8%","8.9%","2.0%","1.5%","41,347","56,280","","31.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","8,528","5.4%","4.3%","8.0%","12.4%","16.5%","22.6%","14.1%","11.9%","2.7%","2.0%","53,099","68,483","","(X)","32.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","6,279","1.9%","1.9%","6.5%","10.8%","15.7%","25.8%","16.3%","14.9%","3.5%","2.7%","61,821","79,318","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,263","18.4%","14.4%","21.8%","14.3%","11.5%","12.1%","4.3%","2.0%","0.6%","0.7%","22,053","32,463","","(X)","(X)","27.9%"
"York County, Maine","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","85,314","3.4%","3.9%","7.9%","8.6%","12.4%","19.2%","14.8%","18.1%","6.0%","5.6%","67,830","85,640","","30.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","54,913","1.5%","1.5%","4.0%","6.6%","11.1%","19.5%","17.1%","23.1%","8.1%","7.4%","83,392","100,058","","(X)","29.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","44,069","0.5%","1.0%","2.5%","4.1%","9.6%","19.1%","18.4%","26.4%","9.7%","8.7%","93,269","109,389","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","30,401","7.4%","8.5%","15.5%","13.7%","15.4%","18.2%","9.5%","8.0%","1.7%","2.2%","39,774","56,199","","(X)","(X)","29.1%"
"Allegany County, Maryland","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","27,399","8.2%","6.6%","12.1%","11.7%","15.2%","18.7%","12.3%","10.0%","3.2%","2.0%","45,893","59,335","","30.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","16,584","4.4%","3.3%","6.8%","9.9%","15.7%","21.9%","16.5%","13.8%","5.0%","2.7%","61,181","72,572","","(X)","29.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","12,131","1.2%","1.4%","4.6%","8.4%","14.8%","22.6%","19.5%","17.7%","6.2%","3.5%","70,790","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","10,815","15.4%","11.4%","21.1%","14.5%","13.9%","13.9%","5.4%","3.4%","0.2%","0.8%","26,290","37,158","","(X)","(X)","30.8%"
"Anne Arundel County, Maryland","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","209,814","2.8%","1.7%","4.0%","4.6%","8.3%","14.5%","13.7%","22.3%","13.1%","15.1%","100,798","124,685","","32.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","146,496","1.7%","0.9%","2.3%","2.9%","6.8%","12.9%","13.6%","24.3%","15.5%","19.0%","115,941","141,633","","(X)","32.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","112,866","0.6%","0.5%","1.0%","1.8%","4.8%","11.1%","13.1%","25.7%","17.9%","23.4%","133,042","158,811","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","63,318","6.0%","3.7%","8.6%","8.8%","12.9%","19.0%","13.8%","16.3%","6.6%","4.2%","62,733","78,438","","(X)","(X)","30.5%"
"Baltimore County, Maryland","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","313,519","4.6%","2.4%","6.5%","6.8%","10.9%","17.6%","14.0%","18.8%","9.0%","9.3%","76,866","102,337","","39.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","203,595","2.3%","1.3%","3.8%","5.0%","9.2%","16.1%","15.0%","23.0%","11.7%","12.6%","95,382","121,244","","(X)","40.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","144,307","1.0%","0.6%","2.1%","3.3%","6.7%","13.3%","14.9%","26.3%","15.1%","16.8%","114,315","141,984","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","109,924","9.4%","4.8%","12.1%","10.7%","14.7%","20.5%","11.8%","10.0%","3.3%","2.6%","48,341","63,208","","(X)","(X)","35.2%"
"Calvert County, Maryland","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","31,973","2.3%","1.7%","3.1%","3.8%","8.4%","11.5%","14.3%","23.0%","15.8%","16.2%","109,313","127,265","","32.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","24,111","1.4%","0.8%","1.6%","2.9%","6.4%","10.6%","14.0%","25.6%","18.0%","18.7%","123,497","137,315","","(X)","32.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","19,013","0.3%","0.4%","0.6%","2.1%","4.5%","8.7%","13.0%","26.1%","21.2%","23.0%","137,124","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","7,862","5.6%","4.6%","8.4%","7.7%","14.5%","16.2%","16.3%","14.3%","7.4%","5.2%","62,644","85,555","","(X)","(X)","29.6%"
"Caroline County, Maryland","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","12,024","4.8%","4.5%","9.5%","9.5%","13.0%","19.9%","12.4%","16.2%","5.7%","4.4%","58,638","79,246","","39.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","8,566","2.7%","3.5%","8.1%","8.8%","11.4%","19.5%","14.0%","18.8%","7.2%","5.9%","69,877","90,357","","(X)","39.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","6,196","1.6%","1.9%","5.2%","5.9%","9.8%","18.2%","16.6%","23.4%","9.6%","7.8%","87,315","106,788","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,458","10.6%","8.8%","15.7%","13.1%","14.3%","19.6%","9.5%","6.5%","1.5%","0.5%","36,632","45,729","","(X)","(X)","37.7%"
"Carroll County, Maryland","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","60,758","3.0%","1.8%","5.2%","4.9%","8.8%","13.5%","14.2%","23.6%","12.6%","12.4%","96,769","114,828","","29.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","45,207","1.5%","0.7%","2.1%","3.2%","6.4%","12.0%","15.4%","27.6%","15.2%","15.6%","113,063","131,388","","(X)","29.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","37,982","0.8%","0.4%","1.2%","2.1%","5.5%","11.1%","15.2%","29.7%","16.6%","17.5%","122,775","140,006","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","15,551","8.3%","5.1%","14.1%","10.5%","15.9%","18.8%","11.1%","11.3%","3.2%","1.8%","46,110","61,374","","(X)","(X)","29.7%"
"Cecil County, Maryland","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","37,058","4.0%","2.4%","7.4%","8.2%","10.5%","16.1%","15.7%","20.0%","9.0%","6.8%","76,887","92,420","","33.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","25,966","2.5%","1.1%","5.3%","5.8%","9.3%","15.0%","16.7%","24.6%","11.3%","8.4%","91,688","105,016","","(X)","34.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","19,711","1.4%","0.5%","2.6%","4.0%","7.8%","14.0%","17.1%","28.4%","14.1%","10.1%","103,524","118,184","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","11,092","8.1%","5.6%","14.5%","14.0%","13.7%","18.0%","12.7%","8.8%","2.5%","2.1%","43,891","58,289","","(X)","(X)","28.8%"
"Charles County, Maryland","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","56,520","3.3%","1.5%","4.1%","4.7%","7.9%","14.1%","14.3%","24.0%","13.6%","12.5%","100,003","115,704","","42.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","41,240","2.3%","0.9%","2.7%","3.9%","6.0%","13.8%","14.2%","25.2%","15.6%","15.4%","111,607","127,188","","(X)","43.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","29,421","0.9%","0.3%","1.5%","3.0%","3.9%","10.2%","13.3%","26.8%","19.4%","20.7%","130,701","146,576","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","15,280","7.5%","3.5%","8.4%","7.4%","13.0%","16.6%","15.9%","19.6%","5.2%","2.8%","64,020","76,818","","(X)","(X)","38.4%"
"Dorchester County, Maryland","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","13,183","7.4%","5.7%","10.4%","8.4%","16.0%","17.7%","14.3%","13.5%","2.2%","4.4%","52,917","71,968","","45.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","8,541","3.6%","2.8%","7.1%","7.7%","14.2%","19.5%","18.0%","17.8%","2.7%","6.5%","68,946","88,353","","(X)","46.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,714","0.7%","0.9%","3.6%","4.5%","11.4%","21.0%","22.1%","23.0%","3.7%","9.1%","84,294","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,642","15.3%","12.1%","16.8%","11.5%","19.2%","13.2%","7.3%","3.6%","0.4%","0.6%","30,414","38,014","","(X)","(X)","41.6%"
"Frederick County, Maryland","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","92,526","2.7%","2.2%","4.5%","5.2%","9.0%","14.7%","12.8%","22.3%","13.3%","13.2%","97,730","116,796","","30.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","66,221","1.4%","0.9%","2.8%","3.9%","7.0%","12.4%","13.5%","25.2%","16.2%","16.6%","112,986","132,837","","(X)","30.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
