"Label (Grouping)","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income (dollars)","Mean income (dollars)","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"Iosco County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","11,402","7.2%","5.7%","13.6%","12.6%","18.1%","18.8%","12.3%","8.3%","2.0%","1.4%","44,334","55,392","","36.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","6,452","3.7%","3.0%","7.7%","11.8%","18.4%","23.4%","14.9%","12.1%","2.9%","2.1%","55,339","67,011","","(X)","34.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,000","2.1%","1.0%","5.1%","10.7%","19.5%","23.7%","17.5%","14.2%","3.5%","2.5%","60,473","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,950","12.4%","11.4%","22.1%","12.7%","17.0%","13.8%","6.4%","2.7%","0.8%","0.5%","28,313","37,623","","(X)","(X)","35.9%"
"Iron County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,087","8.6%","5.3%","11.6%","14.0%","13.5%","18.6%","13.4%","10.0%","3.2%","1.6%","45,792","60,228","","34.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,893","2.7%","2.6%","6.5%","10.3%","14.1%","23.3%","17.9%","15.1%","5.2%","2.2%","63,399","75,259","","(X)","37.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,226","0.9%","0.7%","5.0%","9.2%","12.3%","26.1%","18.6%","18.2%","6.5%","2.5%","70,643","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,194","16.7%","9.3%","19.5%","19.3%","14.4%","10.3%","5.9%","3.1%","0.6%","0.7%","27,185","38,377","","(X)","(X)","29.9%"
"Isabella County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","24,582","10.5%","5.8%","11.2%","10.4%","13.3%","18.0%","12.0%","11.2%","4.1%","3.5%","48,840","66,206","","32.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","13,746","4.7%","3.9%","6.4%","9.0%","12.4%","19.8%","15.5%","16.8%","6.4%","5.1%","66,815","84,004","","(X)","34.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","10,003","1.9%","1.7%","4.2%","6.5%","11.0%","20.9%","18.7%","20.7%","8.4%","6.0%","78,673","97,012","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","10,836","18.7%","9.5%","17.1%","12.7%","14.8%","14.7%","6.9%","3.4%","0.9%","1.4%","27,838","41,188","","(X)","(X)","30.5%"
"Jackson County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","61,833","5.4%","4.7%","9.0%","9.8%","13.8%","19.8%","13.4%","14.0%","5.8%","4.2%","57,746","77,575","","34.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","39,050","2.5%","2.5%","4.9%","7.1%","13.0%","21.5%","16.1%","18.8%","8.1%","5.5%","73,242","91,792","","(X)","33.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","28,351","0.8%","0.6%","2.7%","5.2%","12.0%","19.6%","18.3%","23.1%","10.6%","7.1%","88,569","105,759","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","22,783","11.4%","9.1%","16.4%","14.8%","15.3%","17.1%","8.0%","5.1%","0.8%","1.8%","33,957","49,789","","(X)","(X)","34.3%"
"Kalamazoo County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","105,299","5.8%","4.0%","8.6%","9.6%","13.2%","17.6%","12.3%","15.6%","6.8%","6.7%","61,739","85,156","","32.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","62,825","2.9%","2.2%","4.1%","8.0%","9.9%","17.7%","14.2%","21.6%","9.6%","9.7%","83,847","105,336","","(X)","32.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","46,705","0.7%","0.6%","2.3%","4.3%","7.5%","17.4%","16.3%","26.4%","12.2%","12.3%","101,661","123,368","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","42,474","11.0%","7.6%","15.4%","12.8%","18.0%","16.9%","8.2%","6.3%","2.0%","1.8%","37,224","50,657","","(X)","(X)","32.4%"
"Kalkaska County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","7,001","5.4%","5.6%","12.2%","8.5%","18.0%","18.6%","15.1%","11.5%","3.1%","2.1%","50,363","65,591","","33.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,562","4.6%","2.5%","8.7%","8.3%","17.3%","19.9%","17.3%","14.6%","4.0%","3.0%","61,132","75,952","","(X)","33.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,642","2.2%","1.4%","8.2%","8.1%","13.8%","21.3%","20.1%","16.8%","4.4%","3.7%","69,089","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,439","8.0%","11.8%","19.8%","9.0%","22.0%","12.5%","10.9%","5.1%","0.5%","0.5%","36,074","42,923","","(X)","(X)","30.5%"
"Kent County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","249,821","4.4%","3.2%","7.6%","7.5%","12.3%","18.8%","14.3%","17.9%","7.0%","7.1%","69,786","92,232","","31.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","165,306","2.6%","1.5%","4.2%","5.3%","10.0%","18.6%","16.7%","22.2%","9.2%","9.7%","86,264","109,861","","(X)","31.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","126,491","0.7%","0.5%","2.3%","3.1%","7.9%","18.0%","17.6%","26.4%","11.5%","11.9%","99,697","125,304","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","84,515","8.7%","6.8%","15.1%","12.7%","17.1%","19.1%","9.4%","7.4%","1.9%","1.7%","40,171","53,417","","(X)","(X)","28.9%"
"Keweenaw County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","1,039","4.6%","2.7%","8.3%","12.3%","19.2%","18.6%","10.8%","14.1%","6.4%","3.2%","54,010","74,942","","28.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","677","5.2%","1.2%","1.8%","7.5%","13.6%","20.8%","15.8%","20.7%","9.0%","4.4%","74,688","91,727","","(X)","24.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","554","0.4%","1.4%","0.7%","8.5%","12.3%","22.6%","12.5%","25.3%","11.0%","5.4%","79,688","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","362","6.6%","5.5%","21.8%","21.3%","28.7%","10.8%","1.4%","1.7%","1.4%","0.8%","31,892","41,118","","(X)","(X)","35.6%"
"Lake County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,349","9.6%","6.6%","16.6%","11.3%","14.6%","20.0%","9.3%","8.4%","1.7%","2.1%","40,753","53,062","","42.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,445","3.3%","2.2%","10.3%","8.0%","18.2%","26.3%","14.0%","11.9%","2.5%","3.3%","55,057","67,497","","(X)","45.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,061","1.7%","1.9%","8.6%","8.2%","18.3%","25.1%","15.4%","14.1%","2.8%","3.7%","59,429","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,904","18.0%","12.6%","24.4%","15.2%","10.9%","11.0%","3.7%","3.1%","0.6%","0.6%","23,417","33,724","","(X)","(X)","39.2%"
"Lapeer County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","33,977","4.9%","3.1%","6.2%","7.1%","13.3%","20.6%","15.3%","17.9%","6.9%","4.7%","69,194","85,899","","37.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","24,589","3.0%","1.6%","4.0%","5.4%","12.1%","21.1%","16.9%","22.0%","8.3%","5.6%","78,537","96,057","","(X)","37.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","19,748","1.0%","0.9%","2.0%","4.1%","11.5%","20.9%","18.6%","24.9%","9.5%","6.6%","86,236","104,504","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","9,388","11.7%","7.9%","13.9%","12.7%","17.1%","16.9%","8.7%","6.8%","2.4%","2.0%","38,418","53,509","","(X)","(X)","35.1%"
"Leelanau County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","9,108","3.2%","2.9%","4.9%","7.7%","13.6%","19.6%","13.3%","19.2%","6.5%","9.3%","72,709","100,270","","29.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","6,307","1.3%","1.5%","2.2%","5.9%","11.1%","19.4%","16.9%","22.8%","7.9%","11.1%","88,066","111,592","","(X)","30.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,475","0.8%","0.2%","2.0%","4.8%","9.2%","18.8%","18.2%","25.2%","8.3%","12.5%","93,650","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,801","8.0%","6.0%","11.0%","12.7%","20.7%","20.2%","4.6%","9.5%","2.4%","4.9%","41,700","71,490","","(X)","(X)","27.1%"
"Lenawee County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","38,667","4.7%","3.2%","8.6%","10.8%","14.1%","20.3%","14.9%","15.0%","4.9%","3.6%","60,656","74,835","","35.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","25,888","2.6%","2.3%","3.9%","7.9%","13.8%","21.6%","17.6%","19.4%","6.3%","4.5%","71,838","86,955","","(X)","35.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","19,840","0.9%","1.0%","3.0%","4.5%","11.9%","22.5%","20.4%","22.6%","7.7%","5.5%","82,938","96,819","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","12,779","10.1%","6.6%","18.9%","17.5%","14.9%","16.0%","8.0%","5.4%","1.6%","1.1%","33,484","45,508","","(X)","(X)","34.3%"
"Livingston County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","73,924","2.2%","1.8%","5.0%","5.9%","10.4%","16.3%","14.8%","20.5%","12.1%","11.0%","88,908","110,145","","30.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","53,169","1.3%","0.9%","2.2%","3.2%","7.5%","15.7%","15.8%","24.5%","15.1%","13.9%","105,639","126,085","","(X)","29.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","44,675","0.8%","0.5%","1.5%","2.4%","6.1%","13.9%","15.8%","26.2%","17.1%","15.7%","113,444","135,181","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","20,755","5.2%","4.2%","12.2%","13.1%","18.6%","18.4%","12.4%","8.9%","3.7%","3.3%","47,872","65,293","","(X)","(X)","30.8%"
"Luce County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","2,128","6.3%","6.1%","8.1%","12.9%","17.0%","16.6%","17.1%","9.6%","3.8%","2.4%","49,667","62,748","","37.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,400","2.7%","1.9%","4.5%","13.0%","17.4%","18.1%","23.9%","13.1%","1.7%","3.7%","64,375","71,938","","(X)","37.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,093","1.6%","1.1%","1.5%","11.5%","18.7%","19.5%","26.8%","15.0%","2.2%","2.1%","71,827","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","728","13.5%","14.3%","19.8%","13.9%","14.4%","12.4%","2.6%","2.9%","6.3%","0.0%","25,978","39,948","","(X)","(X)","33.5%"
"Mackinac County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,063","6.4%","6.0%","11.1%","11.2%","11.8%","23.0%","11.6%","12.6%","3.0%","3.2%","52,989","67,329","","34.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,032","2.4%","2.7%","7.9%","10.0%","11.5%","26.6%","14.4%","16.1%","3.5%","4.8%","65,340","80,998","","(X)","30.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,375","1.4%","0.6%","4.9%","9.4%","11.4%","29.0%","14.7%","18.6%","4.2%","5.8%","70,786","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,031","12.8%","12.0%","16.7%","13.4%","12.7%","17.1%","6.6%","5.6%","2.3%","0.9%","32,632","44,607","","(X)","(X)","37.3%"
"Macomb County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","351,715","4.5%","3.3%","7.8%","8.6%","12.8%","17.8%","13.9%","17.7%","7.7%","5.8%","67,828","86,022","","34.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","226,881","2.7%","1.9%","4.6%","6.2%","10.7%","17.6%","15.5%","22.6%","10.3%","7.9%","84,792","101,257","","(X)","36.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","165,040","1.2%","1.0%","2.7%","4.4%","8.2%","16.5%","16.7%","26.2%","13.0%","10.1%","98,892","114,621","","(X)","(X)","(X)"
