"Label (Grouping)","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income","Mean income","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"        Estimate","1,230","1.1%","1.0%","4.1%","10.8%","17.3%","25.9%","10.8%","14.1%","13.8%","1.1%","66,786","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","784","23.7%","9.7%","22.7%","15.1%","24.0%","3.7%","1.1%","0.0%","0.0%","0.0%","19,349","25,291","","(X)","(X)","35.7%"
"Cass County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","40,397","2.0%","2.8%","7.9%","7.7%","12.0%","18.9%","15.8%","19.6%","7.8%","5.2%","72,522","87,299","","31.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","29,364","1.4%","1.6%","4.6%","6.2%","9.6%","18.6%","17.9%","24.3%","9.4%","6.3%","85,798","98,257","","(X)","30.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","23,102","0.5%","0.7%","2.6%","4.6%","7.9%","16.1%","20.0%","28.7%","11.5%","7.4%","97,434","108,996","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","11,033","5.4%","6.8%","18.2%","13.1%","20.2%","18.3%","7.1%","6.2%","2.7%","1.9%","40,129","52,350","","(X)","(X)","29.6%"
"Cedar County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,573","9.0%","5.5%","15.0%","13.7%","20.4%","16.4%","8.6%","6.2%","2.0%","3.3%","39,408","62,300","","38.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,521","4.3%","2.2%","8.3%","14.7%","22.0%","19.1%","13.4%","8.7%","2.4%","4.9%","48,983","80,330","","(X)","39.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,928","3.3%","1.9%","4.8%","15.1%","20.5%","19.4%","15.9%","10.5%","2.9%","5.7%","55,259","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,052","17.2%","11.2%","26.9%","12.8%","16.5%","11.5%","0.3%","1.9%","1.5%","0.0%","22,500","30,791","","(X)","(X)","37.3%"
"Chariton County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","2,723","5.3%","6.8%","11.3%","8.7%","16.3%","23.7%","11.3%","11.8%","3.0%","1.9%","51,545","62,865","","40.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,904","1.8%","4.1%","6.6%","6.1%","15.9%","28.2%","14.7%","16.0%","4.4%","2.3%","63,411","75,591","","(X)","39.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,655","1.5%","2.6%","4.1%","5.3%","14.8%","30.5%","16.6%","17.5%","4.6%","2.6%","65,536","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","819","13.7%","14.3%","23.9%","13.8%","16.4%","11.8%","3.3%","2.0%","0.4%","0.5%","24,320","31,767","","(X)","(X)","38.7%"
"Christian County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","32,487","3.4%","3.7%","7.6%","8.6%","14.4%","20.8%","16.3%","15.3%","5.5%","4.3%","64,442","79,855","","37.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","24,052","2.8%","1.6%","4.3%","7.1%","13.7%","21.3%","18.3%","18.5%","6.8%","5.5%","73,921","90,361","","(X)","36.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","19,908","0.9%","1.3%","3.2%","5.3%","11.5%","21.3%","20.8%","21.3%","7.9%","6.4%","82,587","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","8,435","7.6%","9.8%","18.1%","14.1%","17.8%","19.6%","7.2%","3.1%","1.8%","0.9%","35,261","44,093","","(X)","(X)","38.3%"
"Clark County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","2,633","7.2%","4.6%","12.4%","15.1%","14.7%","19.8%","9.4%","9.6%","3.8%","3.3%","45,842","67,752","","50.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,702","2.1%","0.5%","6.1%","15.9%","14.4%","26.7%","10.6%","13.8%","4.9%","5.2%","59,792","86,162","","(X)","55.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,428","2.0%","0.4%","3.4%","16.2%","14.1%","23.6%","12.1%","16.2%","5.9%","6.2%","61,337","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","931","16.6%","12.0%","26.7%","13.6%","14.6%","7.6%","5.9%","1.0%","1.8%","0.0%","21,157","31,767","","(X)","(X)","39.7%"
"Clay County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","92,514","3.2%","2.3%","6.8%","8.3%","13.0%","18.4%","15.8%","18.4%","8.0%","5.8%","72,047","89,047","","31.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","62,413","2.1%","0.8%","5.2%","6.0%","9.3%","17.9%","18.1%","22.0%","10.8%","7.7%","85,961","102,937","","(X)","32.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","46,598","1.0%","0.4%","2.4%","3.7%","7.3%","16.3%","20.2%","25.6%","13.3%","9.8%","97,593","116,232","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","30,101","6.4%","5.3%","11.8%","14.1%","21.2%","19.1%","10.0%","9.0%","2.0%","1.1%","42,677","55,571","","(X)","(X)","26.8%"
"Clinton County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","8,100","5.6%","3.1%","8.4%","8.0%","12.7%","23.5%","16.8%","14.7%","5.0%","2.2%","62,213","70,807","","39.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","5,673","4.4%","2.1%","4.9%","4.7%","10.7%","24.1%","20.6%","19.1%","6.6%","2.8%","73,936","81,275","","(X)","39.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,508","0.8%","1.0%","4.2%","4.3%","9.4%","22.7%","23.8%","22.3%","7.9%","3.5%","79,945","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,427","9.7%","7.7%","16.1%","17.1%","17.8%","20.1%","6.8%","3.0%","1.3%","0.5%","34,712","42,508","","(X)","(X)","37.7%"
"Cole County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","30,291","5.2%","3.6%","9.1%","7.2%","14.3%","20.4%","13.0%","17.9%","6.2%","3.1%","61,184","78,184","","33.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","18,662","3.0%","2.9%","4.0%","4.2%","10.4%","20.9%","17.0%","24.0%","8.9%","4.6%","80,632","94,863","","(X)","34.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","14,604","1.0%","0.5%","1.4%","1.8%","8.1%","21.9%","20.2%","28.4%","10.9%","5.9%","92,006","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","11,629","10.2%","6.6%","18.8%","12.8%","18.7%","17.2%","6.2%","7.1%","1.8%","0.7%","36,532","48,473","","(X)","(X)","31.4%"
"Cooper County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,342","7.7%","5.1%","12.7%","8.9%","12.5%","19.2%","15.2%","13.8%","2.5%","2.4%","53,003","64,971","","35.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,351","5.5%","2.6%","9.6%","7.1%","11.1%","20.8%","18.0%","18.5%","3.6%","3.1%","65,798","76,179","","(X)","35.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,216","1.5%","0.7%","7.4%","4.6%","9.3%","23.2%","23.4%","21.3%","4.8%","3.9%","78,366","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,991","13.0%","10.7%","20.8%","14.2%","17.7%","13.9%","6.8%","1.9%","0.1%","0.9%","28,859","37,045","","(X)","(X)","32.9%"
"Crawford County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","9,798","9.1%","8.4%","11.5%","11.6%","18.1%","18.4%","10.6%","8.6%","2.3%","1.5%","44,380","55,128","","38.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","6,315","5.0%","4.6%","9.6%","11.0%","20.0%","19.4%","14.6%","11.7%","2.5%","1.7%","49,947","64,563","","(X)","36.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,799","2.6%","2.6%","5.7%","10.0%","21.9%","19.3%","18.4%","14.8%","2.5%","2.1%","60,471","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,483","17.8%","15.8%","15.6%","13.5%","13.9%","15.3%","2.5%","2.6%","2.1%","1.0%","25,818","36,404","","(X)","(X)","41.6%"
"Dade County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,028","4.4%","5.4%","19.4%","12.4%","14.9%","17.9%","11.7%","8.6%","2.7%","2.6%","42,117","61,023","","32.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,124","3.3%","3.6%","14.2%","10.7%","16.2%","21.8%","13.1%","11.6%","2.2%","3.3%","52,442","67,067","","(X)","31.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,658","2.0%","1.1%","13.3%","8.4%","13.9%","23.8%","16.8%","13.6%","2.8%","4.3%","61,667","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","904","8.6%","11.0%","30.2%","16.2%","11.9%","7.5%","8.5%","1.3%","3.8%","1.0%","25,179","45,640","","(X)","(X)","32.7%"
"Dallas County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,412","6.1%","10.0%","15.2%","11.7%","17.0%","17.0%","12.2%","6.4%","1.7%","2.7%","40,404","57,106","","35.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,604","4.6%","6.2%","12.9%","8.9%","16.9%","21.0%","14.6%","8.9%","2.4%","3.5%","50,553","67,604","","(X)","40.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,659","0.7%","0.8%","12.5%","8.9%","19.1%","22.9%","18.3%","9.3%","3.1%","4.4%","57,914","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,808","12.5%","17.6%","20.5%","18.9%","18.3%","5.5%","6.1%","0.0%","0.0%","0.6%","22,282","29,586","","(X)","(X)","20.7%"
"Daviess County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,002","5.1%","5.2%","13.5%","11.2%","10.8%","24.9%","13.2%","10.3%","3.2%","2.6%","52,143","65,551","","42.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,112","2.0%","1.6%","9.4%","10.2%","12.2%","27.2%","16.2%","14.0%","4.1%","3.2%","62,558","75,029","","(X)","43.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,757","1.2%","1.0%","8.0%","8.3%","11.3%","27.3%","18.3%","16.6%","4.7%","3.4%","69,174","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","890","12.4%","14.9%","24.9%","14.9%","9.1%","14.9%","5.5%","1.8%","0.2%","1.2%","24,254","39,313","","(X)","(X)","40.7%"
"DeKalb County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,800","2.9%","4.9%","11.9%","10.1%","12.2%","22.2%","17.1%","14.4%","2.9%","1.5%","58,433","66,083","","41.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,377","2.9%","2.4%","4.5%","7.3%","11.1%","22.3%","23.9%","18.4%","4.6%","2.4%","74,327","78,779","","(X)","38.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,947","1.4%","1.0%","2.4%","5.4%","11.9%","21.4%","26.9%","21.6%","5.0%","2.9%","77,257","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,423","3.2%","8.9%","24.0%","15.5%","14.2%","22.9%","4.9%","6.3%","0.0%","0.0%","34,172","42,685","","(X)","(X)","45.5%"
"Dent County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,355","9.4%","5.8%","14.5%","13.6%","13.5%","17.0%","12.6%","10.1%","1.8%","1.8%","42,714","55,495","","40.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,169","5.5%","0.9%","8.9%","15.1%","16.1%","19.1%","15.4%","14.3%","2.7%","1.9%","52,474","66,466","","(X)","40.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,142","2.8%","0.3%","5.7%","13.8%","17.4%","17.0%","18.1%","18.6%","3.6%","2.5%","61,875","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,186","17.8%","15.4%","25.6%","13.3%","9.6%","10.2%","5.1%","1.3%","0.0%","1.7%","19,339","31,917","","(X)","(X)","39.5%"
"Douglas County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,317","10.0%","4.9%","13.1%","12.6%","14.3%","21.6%","8.3%","9.8%","1.6%","3.7%","43,714","59,683","","43.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
